directorate,team_full,team_short,benchmark_group,exclude
Adult Acute & Crisis Mental Health (L3),175 IR&C Bromley Crisis Resolution Home Treatment Team,Bromley Crisis Resolution Home Treatment Team,Home Treatment Team,
Adult Acute & Crisis Mental Health (L3),182 IR&C Bexley Lesney Ward,Bexley Lesney Ward,Acute Psychiatric Ward,
Adult Acute & Crisis Mental Health (L3),183 IR&C Bexley Millbrook Ward,Bexley Millbrook Ward,Acute Psychiatric Ward,
Adult Community Mental Health Services (L3),190 CMH Bexley Rehabilitation & Enablement Service,Bexley Rehabilitation & Enablement Service,,
Adult Community Physical Health Services (L3),"190, 255, 643, 655, 690, 219 - Enablement Services",Enablement Services,,
Adult Community Physical Health Services (L3),195 ACS Complex Case Team,Complex Case Team,,
Adult Community Mental Health Services (L3),196 CMH Greenwich RB West Central,Greenwich RB West Central,,
Adult Community Mental Health Services (L3),200 CMH Bexley Borough General,Bexley Borough General,,
Adult Community Mental Health Services (L3),201 CMH Bexley Early Intervention in Psychosis,Bexley Early Intervention in Psychosis,Early Intervention in Psychosis,
Corporate (L3),"202 250 264 Involved, Vol Serv, Therapies Cent & Liv Exp","Involved, Vol Serv, Therapies Cent & Liv Exp",Workforce,
Offender Healthcare (L3),"205 210 211 214 Bristol Mh, Pharm, Primary Care & Mgmt & Admin","Bristol Mh, Pharm, Primary Care & Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),206 IR&C Bexley Medical Acute,Bexley Medical Acute,Medical,
Adult Community Mental Health Services (L3),207 CMH Bexley Medical Community Mental Health,Bexley Medical Community Mental Health,Medical,
Adult Community Physical Health Services (L3),209 ACS Bexley Meadow View,Bexley Meadow View,Other Wards,
Children & Young People (L3),213 CAMHS Bexley MHIST,CAMHS Bexley MHIST,Bexley CAMHS,
Offender Healthcare (L3),"218 220 232 491 Ashfield Pharm, Primary Care, Mental Health, Mgmt & Admin","Ashfield Pharm, Primary Care, Mental Health, Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),221 IR&C Greenwich Acute & Crisis Service,Greenwich Acute & Crisis Service,,
Adult Acute & Crisis Mental Health (L3),222 IR&C Greenwich Shrewsbury Ward,Greenwich Shrewsbury Ward,,
Adult Acute & Crisis Mental Health (L3),223 IR&C Greenwich Avery Ward,Greenwich Avery Ward,,
Adult Acute & Crisis Mental Health (L3),226 IR&C Barefoot Lodge,Barefoot Lodge,,
Adult Community Mental Health Services (L3),228 CMH Greenwich RB East Central,Greenwich RB East Central,CMH,
Adult Acute & Crisis Mental Health (L3),"231 227 276 IR&C Green Lia AMH, OPMH & MH Ass Team","Greenwich MH Liason, OPMH & MH Ass Team",MH Liaison,
Adult Acute & Crisis Mental Health (L3),233 IR&C Greenwich The Tarn (ICU),Greenwich The Tarn,Acute Psychiatric Ward,
Adult Community Mental Health Services (L3),234 158 CMH Green East Adapt & CEN,Greenwich East Adapt & CEN,ADAPT,
Adult Community Mental Health Services (L3),234 CMH Greenwich East Adapt,Greenwich East Adapt,ADAPT,
Adult Community Physical Health Services (L3),236 225 Green Frailty Team & Falls Prevention,Green Frailty Team & Falls Prevention,,
Offender Healthcare (L3),"241 245 257 616 Erlestoke MH, Phar, Primary Care & Mgmt & Admin","Erlestoke MH, Phar, Primary Care & Mgmt & Admin",,1
Adult Acute & Crisis Mental Health (L3),242 IR&C Greenwich Home Treatment Team,Greenwich Home Treatment Team,Home Treatment Team,
Adult Acute & Crisis Mental Health (L3),244 IR&C Greenwich s136 Suite,Greenwich s136 Suite,Flow,
Adult Acute & Crisis Mental Health (L3),247 IR&C Greenwich Medical Acute,Greenwich Medical Acute,Medical,
Adult Community Mental Health Services (L3),"248 249 235 Green RB East ICMP, East Cent & Bor Cent","Greenwich RB East ICMP, East Cent & Bor Cent",,1
Adult Community Mental Health Services (L3),249 CMH Greenwich East ICMP,Greenwich East ICMP,ICMP,
Corporate (L3),250 202 264 526 Therapies and Experience & Precept,Therapies and Experience & Precept,Corporate Therapies,
Adult Acute & Crisis Mental Health (L3),251 IR&C Greenwich Psychology Inpatient,Greenwich Psychology Inpatient,,
Adult Community Mental Health Services (L3),252 CMH Greenwich PCN,Greenwich PCN,,
Adult Community Mental Health Services (L3),254 CMH Greenwich Medical CMH,Greenwich Medical CMH,Medical,
Adult Community Mental Health Services (L3),260 CMH - Management,CMH - Management,Management,
Offender Healthcare (L3),"261 262 270 623 Leyhill MH, Pharamcy, Primary Care & Mgmt & Admin","Leyhill MH, Pharamcy, Primary Care & Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),266 IR&C Holbrook Ward OPMH,Holbrook Ward OPMH,Other Wards,
