q_id,q_text,q_text_short,year_q,text_origin,q_type,trust_specific,down_good
90,My organisation is committed to helping me balance my work and home life.,My organisation is committed to helping me balance my work & home life (Agree/Strongly agree),q6b,IQVIA_bench,option,,
67,"My organisation encourages us to report errors, near misses or incidents.","My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree)",q19b,IQVIA_bench,option,,
59,My organisation acts on concerns raised by patients / service users.,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree),q25b,IQVIA_bench,option,,
18,My level of pay.,My level of pay (Satisfied/Very satisfied),q4c,IQVIA_bench,option,,
121,My immediate manager works together with me to come to an understanding of problems.,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree),q9f,IQVIA_bench,option,,
117,My immediate manager values my work.,My immediate manager values my work (Agree/Strongly agree),q9e,IQVIA_bench,option,,
119,My immediate manager takes effective action to help me with any problems I face.,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree),q9i,IQVIA_bench,option,,
118,My immediate manager takes a positive interest in my health and well-being.,My immediate manager takes a positive interest in my health & well-being (Agree/Strongly agree),q9d,IQVIA_bench,option,,
104,My immediate manager is interested in listening to me when I describe challenges I face.,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree),q9g,IQVIA_bench,option,,
26,My immediate manager gives me clear feedback on my work.,My immediate manager gives me clear feedback on my work (Agree/Strongly agree),q9b,IQVIA_bench,option,,
103,My immediate manager encourages me at work.,My immediate manager encourages me at work (Agree/Strongly agree),q9a,IQVIA_bench,option,,
53,My immediate manager cares about my concerns.,My immediate manager cares about my concerns (Agree/Strongly agree),q9h,IQVIA_bench,option,,
120,My immediate manager asks for my opinion before making decisions that affect my work.,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).,q9c,IQVIA_bench,option,,
106,It left me feeling that my work is valued by my organisation.,"It left me feeling that my work is valued by my organisation (Yes, definitely)",q23d,IQVIA_bench,option,,
30,It helped me to improve how I do my job.,"It helped me to improve how I do my job (Yes, definitely)",q23b,IQVIA_bench,option,,
122,It helped me agree clear objectives for my work.,"It helped me agree clear objectives for my work (Yes, definitely)",q23c,IQVIA_bench,option,,
44,In the last three months have you ever come to work despite not feeling well enough to perform your duties?,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No),q11d,IQVIA_bench,option,,
7,"In the last month have you seen any errors, near misses, or incidents that could have hurt staff and/or patients/service users?","In the last month have you seen any errors, near misses, or incidents that could have hurt staff or patients? (No)",q18,IQVIA_bench,option,,
87,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from staff / colleagues?","In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from staff / colleagues (Never)",q17b,IQVIA_bench,option,,
