theme_id,theme,domain,subdomain,q_id,q_text,lookup
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,104," ï¿½ is interested in listening to me when I describe challenges, I face",My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,104,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).
PP1_2,People's Promise,We are compassionate and inclusive,Compassionate leadership,104,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,105,The recognition I get for good work (Satisfied/Very satisfied) 60.,The recognition I get for good work (Satisfied/Very satisfied).
PP2,People's Promise,We are recognised and rewarded,,105,The recognition I get for good work (Satisfied/Very satisfied).,The recognition I get for good work (Satisfied/Very satisfied).
OV_WL_WL,Oxleas Values,We Listen,We listen,106,"It left me feeling that my work is valued by my organisation (Yes, definitely).","It left me feeling that my work is valued by my organisation (Yes, definitely)."
PP5_2,People's Promise,We are always learning,Appraisals,106,"It left me feeling that my work is valued by my organisation (Yes, definitely).","It left me feeling that my work is valued by my organisation (Yes, definitely)."
OV_WC_WWN,Oxleas Values,We Care ,We will not ,107,Have you felt pressure from your manager to come to work (No).,Have you felt pressure from your manager to come to work (No).
E_2,Other,Engagement,Involvement,110,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).
OV_WL_WA,Oxleas Values,We Listen,We Aim,110,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).
PP3_1,People's Promise,We each have a voice that counts,Autonomy and control,110,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).
OV_WC_WA,Oxleas Values,We Care ,We Aim,111,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).
PP6_1,People's Promise,We work flexibly,Support for work-life balance,111,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).
NI_IPC,NHS IMPACT,Investing in People & Culture,,113, I have opportunities to improve my knowledge and skills,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,113,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).
PP5_1,People's Promise,We are always learning,Development,113,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).
NI_IPC,NHS IMPACT,Investing in People & Culture,,114, I am able to access the right learning and development opportunities when I need ,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).
OV_WC_WA,Oxleas Values,We Care ,We Aim,114,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,114,I am able to access the right learning and development opportunities when I need to,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).
PP5_1,People's Promise,We are always learning,Development,114,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).
NI_SPV,NHS IMPACT,Shared Purpose & Vision,,115, The team I work in has a shared set of objectives,The team I work in has a set of shared objectives (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,115,The team I work in has a set of shared objectives (Agree/Strongly agree) .,The team I work in has a set of shared objectives (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,115,The team I work in has a set of shared objectives (Agree/Strongly agree).,The team I work in has a set of shared objectives (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,116,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree) .,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,116,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,117,My immediate manager values my work (Agree/Strongly agree).,My immediate manager values my work (Agree/Strongly agree).
PP2,People's Promise,We are recognised and rewarded,,117,My immediate manager values my work (Agree/Strongly agree).,My immediate manager values my work (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,118,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree) .,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree).
PP7_2,People's Promise,We are a team,Line management,118,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree).,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree).
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,119, ï¿½ takes effective action to help me with any problems I face,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).
OV_WK_WL,Oxleas Values,We are Kind,We listen,119,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree) .,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,119,My immediate managerï¿½takes effective action to help me with any problems I face,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).
PP1_2,People's Promise,We are compassionate and inclusive,Compassionate leadership,119,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,120,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree) .,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).
PP7_2,People's Promise,We are a team,Line management,120,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,121, ï¿½ works together with me to come to an understanding of problems,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,121,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).
PP1_2,People's Promise,We are compassionate and inclusive,Compassionate leadership,121,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,122,"It helped me agree clear objectives for my work (Yes, definitely) .","It helped me agree clear objectives for my work (Yes, definitely)."
PP5_2,People's Promise,We are always learning,Appraisals,122,"It helped me agree clear objectives for my work (Yes, definitely).","It helped me agree clear objectives for my work (Yes, definitely)."
E_1,Other,Engagement,Motivation,123,Time passes quickly when I am working (Often/Always).,Time passes quickly when I am working (Often/Always).
OV_WL_WA,Oxleas Values,We Listen,We Aim,123,Time passes quickly when I am working (Often/Always).,Time passes quickly when I am working (Often/Always).
M_3,Other,Morale,Stressors,124,Relationships at work are strained,Relationships at work are strained (Never/Rarely).
OV_WK_WWN,Oxleas Values,We are Kind,We will not ,124,Relationships at work are strained (Never/Rarely).,Relationships at work are strained (Never/Rarely).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,124,Relationships at work are strained,Relationships at work are strained (Never/Rarely).
OV_WC_WWN,Oxleas Values,We Care ,We will not ,125,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely).","How often, if at all, do you find your work emotionally exhausting (Never/Rarely)."
PS_WS,Patient Safety,Creating a workplace conducive to safety,,125,How often if at allï¿½do you find your work emotionally exhausting?,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely)."
PP4_2,People's Promise,We are safe and healthy,Burnout,125,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely).","How often, if at all, do you find your work emotionally exhausting (Never/Rarely)."
OV_WC_WWN,Oxleas Values,We Care ,We will not ,126,"How often, if at all, do you feel burnt out because of your work (Never/Rarely).","How often, if at all, do you feel burnt out because of your work (Never/Rarely)."
PP4_2,People's Promise,We are safe and healthy,Burnout,126,"How often, if at all, do you feel burnt out because of your work (Never/Rarely).","How often, if at all, do you feel burnt out because of your work (Never/Rarely)."
OV_WC_WWN,Oxleas Values,We Care ,We will not ,127,"How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely).","How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely)."
PP4_2,People's Promise,We are safe and healthy,Burnout,127,"How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely).","How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely)."
OV_WC_WWN,Oxleas Values,We Care ,We will not ,128,"How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely).","How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely)."
PP4_2,People's Promise,We are safe and healthy,Burnout,128,"How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely).","How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely)."
OV_WL_WL,Oxleas Values,We Listen,We listen,129,The extent to which my organisation values my work (Satisfied/Very satisfied).,The extent to which my organisation values my work (Satisfied/Very satisfied).
PP2,People's Promise,We are recognised and rewarded,,129,The extent to which my organisation values my work (Satisfied/Very satisfied).,The extent to which my organisation values my work (Satisfied/Very satisfied).
OV_WC_WWN,Oxleas Values,We Care ,We will not ,130,During the last 12 months have you felt unwell as a result of work related stress (No).,During the last 12 months have you felt unwell as a result of work related stress (No).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,130,Whether felt unwell as a result of work-related stress in the last 12 months,During the last 12 months have you felt unwell as a result of work related stress (No).
PP4_3,People's Promise,We are safe and healthy,Negative experiences,130,During the last 12 months have you felt unwell as a result of work related stress (No).,During the last 12 months have you felt unwell as a result of work related stress (No).
OV_WF_WWN,Oxleas Values,We are Fair ,We will not ,131,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).
PP1_3,People's Promise,We are compassionate and inclusive,Diversity and equality,131,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).
OV_WF_WWN,Oxleas Values,We are Fair ,We will not ,132,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No) .","In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No)."
PP1_3,People's Promise,We are compassionate and inclusive,Diversity and equality,132,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No).","In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No)."
